abandon 放弃；放纵$0
cohesive 凝聚的$0
coincide 巧合；一致$0
colander 滤器，漏勺$0
cold-blooded 冷血的；残酷的$0
collaborate 合作，协作$0
collage 拼贴画$0
collapse 坍塌，塌陷；虚脱，晕倒$0
collar 衣领；戴在动物颈部的项圈$0
collate 对照，核对$0
collateral 平行的；旁系的；担保品$0
collected 泰然自若的$0
collection 收藏品$0
collision 碰撞，冲突$0
colloquial 口语的，口头的$0
colloquium 学术讨论会$0
collude 串通，共谋$0
colon 冒号$0
colonize 建立殖民地$0
colonnade 柱廊$0
colony 菌群；殖民地$0
coloration 着色法，染色法；颜色，色泽$0
colossal 巨大的，庞大的$0
colossus 巨人$0
coltish 似小马的；不受拘束的$0
coma 昏迷状态$0
comatose 昏迷的$0
combat 格斗，搏斗$0
combustible 易燃的；易激动的$0
comedienne 说笑话、演滑稽剧等的女演员$0
comely 动人的，美丽的$0
comic 可笑的；喜剧的；喜剧演员$0
comity 礼让，礼仪$0
comma 逗号$0
commemorate 纪念$0
commence 开始，着手$0
commencement 开始；毕业典礼$0
commensurate 同样大小的；相称的$0
commentary 实况报道；集注$0
commingle 掺和，混合$0
commission 委托；佣金$0
commit 托付；承诺；犯罪$0
committed 尽忠的$0
commodious 宽敞的$0
commodity 商品$0
commonplace 平常的$0
commonwealth 共和国，联邦$0
commotion 骚动，动乱$0
communal 全体公用的，共享的$0
commune 公社；与某人亲密地交谈$0
communicate 传送信息，沟通$0
commute 交换；坐公交车上下班$0
compact 结实的；简洁的；合同，协议$0
companion 同伴，同伙；受雇的陪伴人$0
comparison 比较，对照；比喻$0
compartment 隔间；车厢$0
compass 指南针，罗盘；界限，范围$0
compassion 同情，怜悯$0
compatible 和谐共处的，相容的$0
compatriot 同胞，同国人$0
compel 强迫$0
compelling 引起兴趣的$0
compendium 简要，概略$0
compensate 补偿，赔偿$0
competence 胜任，能力$0
compile 汇集；编辑$0
complacecency 满足，安心$0
complaisance 彬彬有礼，殷勤，柔顺$0
complaisant 顺从的，讨好的$0
complementary 互补的$0
compliant 服从的，顺从的$0
complicate 使某事复杂化$0
compliment 恭维，称赞$0
component 成分，零部件$0
compose 写，创作$0
composed 镇定的，沉着的$0
compost 混合肥料$0
composure 镇静，沉着；自若$0
compound 复合物$0
comprehend 理解；包括$0
comprehensible 能充分理解的$0
comprehensive 全面的，综合的$0
compress 压缩，浓缩的$0
compromise 妥协；危害$0
compulsion 强迫；难以抗拒的冲动$0
compunction 懊悔，良心不安$0
concatenate 连结；连锁$0
concave 凹的$0
conceal 隐藏，隐瞒$0
concede 承认；让步$0
conceit 自负，自大$0
conceive 想象，构想；怀孕$0
concentrate 聚集，浓缩$0
conception 观念$0
concerto 协奏曲$0
concession 让步$0
conciliate 安抚，驯服$0
conciliatory 抚慰的，调和的$0
concise 简洁的$0
conclave 秘密会议$0
conclusive 最后的，结论的；确凿的，消除怀疑的$0
concomitant 伴随而来的$0
concord 公约；和睦$0
concrete 具体存在的；混凝土$0
concur 意见相同，一致$0
concussion 脑震荡；强烈振荡$0
condemn 极力谴责；判刑$0
condense 浓缩$0
condescend 轻慢，怀着优越态度对待人$0
condone 宽恕，原谅$0
conducive 有助于…的$0
conduct 品德，行为；领导，引导$0
conduit 渠道，引水道；水管$0
cone 松果；圆锥体$0
confection 甜食，糖果$0
confederacy 联盟或同盟$0
confer 讨论，商谈$0
conference 讨论会，协商会$0
confess 承认，公认$0
confide 吐露；倾诉$0
confidence 新人，自信，信心$0
confidential 机密的$0
configuration 结构，配置；轮廓$0
confine 限制，禁闭$0
confirm 证实，证明$0
confiscate 没收；充公$0
conflagration 建筑物或森林大火$0
conflate 合并$0
conflict 斗争，战斗；冲突，抵触$0
conformist 遵奉传统者，遵守习俗者$0
confound 使迷惑，搞混$0
confront 面临；对抗$0
congeal 冻结，凝固$0
congenial 意气相投的；性情好的$0
congest 使拥挤；充血$0
conglomerate 集聚成团$0
congregate 聚集，集合$0
congruent 全等的，一致的$0
congruous 一致的，符合的；全等的$0
conifer 针叶树$0
conjecture 推测，臆测$0
conjoin 使结合$0
conjunction 联合；连词$0
conjure 召唤，想起；变魔术，变戏法$0
connive 默许；纵容共谋$0
connoisseur 鉴赏家，行家$0
connotation 言外之意，内涵$0
conquer 以武力征服$0
conquest 征服；战利品$0
conscience 良心，是非感$0
conscientious 尽责的；小心谨慎的$0
conscript 强行征兵，征召$0
consensus 意见一致$0
consent 同意，允许$0
consequence 结果；后果；重要性；价值$0
consequential 傲慢的，自以为是的$0
conservative 保守的，守旧的$0
conservatory 温室；音乐学院$0
conserve 保全，保存$0
considerable 相当多的；值得考虑的$0
consign 托运；托人看管$0
consistent 前后一致的$0
console 安慰，抚慰$0
consolidate 巩固；坚强；合并$0
consolidation 合并，巩固$0
consonant 调和的，一致的$0
conspicuous 显著的，显而易见的$0
conspire 阴谋，共谋$0
constant 稳定的，不变的；常数$0
constellation 星座，星群$0
consternation 大为吃惊，惊骇$0
constituent 成分；选区内的选民$0
constitute 组成，构成；建立$0
constitution 宪法；体质$0
constitutional 章程的，法规的；素质上的，本质的$0
constrain 束缚，强迫；限制$0
constraint 强制，强迫；对感情的压抑$0
constrict 压缩，收缩$0
construct 建造，构成$0
construe 解释；翻译$0
consul 领事$0
consummate 完全的，完善的；完成$0
contact 接触；互通信息$0
contagious 传染的；有感染力的$0
contain 包含，含有；控制；阻止，遏制$0
containment 阻止，遏制$0
contaminate 使…受污染$0
contemplate 深思$0
contempt 轻视，鄙视$0
contemptible 令人轻视的$0
contemptuous 鄙视的，表示轻蔑的$0
contend 竞争，争夺；据理力争，主张$0
content 知足的，满意的；内容；满意$0
contented 心满意足的$0
contention 争论；论点$0
contentious 好辩的，善争吵的$0
contest 竞争；对…表示怀疑$0
context 上下文$0
contiguous 接壤的，接近的$0
continent 自制的；大陆$0
contingent 意外的；视情况或条件而定的$0
contort 扭曲；歪曲$0
contraband 违禁品，走私货$0
contract 合同；订合同；收缩$0
contradict 反驳，驳斥$0
contrast 对比；对比，对照$0
contravene 违背$0
contrite 悔罪的，痛悔的$0
contrive 计划，设计$0
contrived 不自然的，做作的$0
control 实验对照组$0
controversial 引起或可能引起争论的$0
controvert 反驳，驳斥$0
contumacious 违抗的，不服从的$0
conundrum 谜语，难题$0
convalesce 康复，复原$0
convalescent 康复中的$0
convenience 便利，有益；方便$0
conventional 因循守旧的，传统的$0
converge 会聚，集中于一点$0
convergent 会聚的$0
conversant 精通的，熟知的$0
converse 谈话；逆向的；相反的事物$0
convert 使改变；改变信仰的人$0
convertible 可转换的；敞篷车$0
convey 运载，运送；表达$0
convict 定罪；罪犯$0
conviction 判罪；坚信$0
convince 是某人确信；说服$0
convivial 欢乐的，狂欢的$0
conviviality 欢乐；爱交际的性格$0
convoke 召集$0
convoluted 旋绕的；费解的$0
convulse 使震动，震惊$0
convulsion 骚动；痉挛$0
coop 笼，栏$0
cooperate 与他人合作$0
coordinate 同等物，坐标；使各部分协调；同等的$0
copious 丰富的，多产的$0
cord 考得；绳索$0
core 果心；核心；去掉某物的中心部分$0
cornucopia 象征丰收的羊角$0
coronation 加冕$0
corporate 团体的$0
corporeal 肉体的，身体的；物质的$0
corpuscle 血球，细胞$0
corral 畜栏$0
correspondent 符合的；记者$0
corroborate 支持或证实；强化$0
corrrode 腐蚀，侵蚀$0
corrosive 腐蚀性的，蚀坏的$0
corrugate 起波浪形，起皱纹$0
corrupt 堕落的，腐败的；文体有错误的$0
cosmic 宇宙的$0
cosmopolitan 世界主义者，四海为家的人$0
cosmopolitanism 世界性，世界主义$0
cosmos 宇宙$0
cosset 宠爱，溺爱$0
costume 服装；剧装$0
coterie 小团体$0
coterminous 毗连的，有共同边界的$0
cougar 美洲豹$0
countenance 支持，赞成；容忍；表情$0
counteract 消除，抵消$0
counterbalance 起平衡作用$0
counterfeit 伪造，仿造$0
countermand 撤回，取消$0
counterpart 相对应或具有相同功能的人或物$0
counterproductive 事与愿违的$0
coup 意外而成功的行动$0
court 法庭，法院；宫廷，朝廷；献殷勤$0
covenant 契约；立书保证$0
covert 秘密的，隐秘的$0
covet 贪求，妄想$0
cow 威胁$0
coward 胆小鬼$0
cower 萎缩，蜷缩$0
coy 腼腆的，忸怩的$0
cozen 欺骗，哄骗$0
crab 蟹，螃蟹；抱怨，发脾气$0
crabbed 暴躁的$0
crack 爆裂声；裂缝；裂开；破解，破译$0
craft 行业；手艺$0
cram 填塞，塞满；临时抱佛脚，为考试而学习$0
cramp 铁箍，夹子；把…箍紧$0
cranky 怪癖的，任性的$0
crass 愚钝的；粗糙的$0
crate 篓，板条箱$0
crater 火山口；弹坑$0
cravat 领巾，领结$0
craven 懦弱的，畏缩的$0
craving 强烈的愿望$0
crayon 彩色蜡笔或其绘画$0
crease 折缝，皱痕$0
credence 相信，信任$0
credible 可信的，可靠的$0
credit 赊购；信任；片头字幕$0
credulous 轻信的，易信的$0
creek 小湾，小溪$0
creep 匍匐前进；悄悄地移动$0
crescendo 渐强；高潮$0
crest 山顶，浪尖；羽冠$0
crestfallen 挫败的，失望的$0
cringe 畏缩；谄媚$0
cringing 谄媚，奉承$0
criteria 评判标准$0
criterion 评判的标准，尺度$0
critic 批评者$0
critical 挑毛病的；关键的；危急的$0
critique 批评性的分析$0
croak 蛙鸣声；发牢骚，抱怨$0
crochet 钩针织物；用钩针编织$0
crockery 陶器，瓦器$0
cronyism 任人唯亲；对好朋友的偏袒$0
crook 使弯曲；钩状物$0
cross 生气的$0
crouch 蹲伏，弯腰$0
crucial 决定性的$0
crudity 粗糙，生硬$0
crumb 饼屑，面包屑；碎裂的东西$0
crumble 弄碎；崩毁$0
crumple 弄皱；破裂$0
crusade 维护理想、原则而进行的运动或斗争$0
crust 硬的表面；地壳$0
crutch 拐杖；支撑$0
crux 关键，症结所在$0
cryptic 秘密的，神秘的$0
cub 幼兽；年轻无经验的人$0
cubicle 大房间中隔出的小室$0
cue 暗示，提示；暗示，提示$0
cuisine 烹饪$0
culinary 厨房的；烹调的$0
culmination 顶点；结果$0
culpable 有罪的，该受谴责的$0
cult 宗派；崇拜$0
cultivate 种植；向…讨好$0
cultivated 耕种的，栽植的；有修养的$0
cumbersome 笨重的$0
cumulus 积云$0
cunning 善于骗人的；灵巧的；欺诈行为$0
cupidity 贪婪$0
curator 馆长$0
curb 路缘，镶边石；马勒；控制$0
curdle 使凝结，变稠$0
curmudgeon 脾气暴躁之人$0
curriculum 课程$0
cursory 粗略的，草率的 $0
curt 简略而草率的$0
curtail 削减，缩短$0
cushion 坐垫；缓冲$0
custodian 管理员，监护人$0
custody 监管，保管$0
customary 合乎习俗的$0
cuticle 表皮$0
cutlery 餐具$0
cyclical 循环的$0
cyclone 气旋，飓风$0
cylinder 圆柱$0
cynic 犬儒主义者，愤世嫉俗者$0
cypress 柏树$0
cytology 细胞学$0
dabble 涉足，浅尝$0
daft 傻的$0
dagger 短剑，匕首$0
daguerreotype 银版照相$0
dainty 量少而味美的食物；娇美的；挑剔的$0
dally 闲荡，嬉戏$0
damp 减弱，抑制；潮湿的$0
damped 减震的；压低的$0
dampen 潮湿；使沮丧，泼凉水$0
dandy 花花公子，好打扮的人$0
dapper 整洁漂亮的；动作敏捷的$0
dappled 有斑点的，斑驳的$0
daredevil 胆大的，冒失的$0
dart 飞镖；疾驰；投射$0
daunt 使胆怯，使畏缩$0
dawdle 闲荡，虚度$0
deaden 减低某物的力量或强度$0
deadlock 相持不下，僵局$0
deadpan 无表情的$0
dealing 生意行为；作风$0
dearth 缺乏，短缺$0
debacle 解冻；崩溃$0
debark 下船，下飞机，下车；卸载$0
debase 贬低，贬损$0
debate 正式的辩论，讨论$0
debilitate 使衰弱$0
debouch 流出，进入$0
debrief 向…询问情况，听取汇报$0
debris 废墟，残骸$0
debunk 揭穿真相，暴露$0
debut 初次登台，初次露面$0
decadence 衰落，颓废$0
deceit 欺骗，欺诈$0
decency 正派，端庄$0
deception 欺骗手段$0
decibel 分贝$0
deciduous 非永久的；短暂的；脱落的；每年落叶的$0
decimate 毁掉大部分；大量杀死$0
decipher 解开；破译$0
declaim 高谈阔论$0
declamation 雄辩，高调$0
decline 拒绝；变弱，变小；消减$0
decode 译解$0
decompose 腐烂$0
decomposition 分解，腐烂；崩溃$0
decorate 装饰某事物$0
decorum 礼节，礼貌$0
decrepit 衰老的；破旧的$0
decry 责难；贬低$0
dedication 对某事业或目的的忠诚$0
deduce 演绎，推断$0
deduct 减去，扣除$0
deductive 推理的，演绎的$0
deed 行为；转让契约、证书$0
deface 损坏$0
default 拖债；未履行的责任$0
defeatist 失败主义者$0
defect 缺点，瑕疵；变节，脱党$0
defendant 被告$0
defense 防御，防护$0
defer 推延$0
deference 敬意，尊重$0
deferential 顺从的，恭顺的$0
defiance 挑战；违抗，反抗$0
deficiency 缺陷；不足$0
deficit 不足；赤字$0
defile 弄污，弄脏；小道$0
definitive 明确的，有权威的；最终的$0
deflated 灰心丧气的$0
deflect 偏离，转向$0
defoliator 落叶剂$0
defraud 欺骗某人$0
deft 灵巧的，熟练的$0
defuse 从中卸除引信；缓和紧张状态或危急局面$0
defy 违抗，藐视$0
degradation 降低身份，受辱$0
dehydrate 除去水分，脱水$0
deify 奉为神；崇拜$0
deign 屈尊；惠允$0
dejected 沮丧的，失望的$0
delectable 赏心悦目的$0
delegate 代表；委派…为代表，授权$0
deleterious 有害的，有毒的$0
deliberate 深思熟虑的；故意的；慎重考虑$0
delicacy 细嫩；精致，优雅$0
delicate 娇嫩的；精致的，优美的$0
delimit 定界，划界$0
delineate 描画$0
delinquency 失职，过失$0
delinquent 疏忽职务的$0
delirious 精神错乱的$0
delirium 精神错乱$0
delta 三角洲$0
delude 欺骗，哄骗$0
deluge 大洪水；暴雨$0
delusion 欺骗，幻想$0
delve 深入探究，钻研$0
demagogue 蛊惑民心的政客$0
demand 要求，苛求$0
demean 贬抑，降低$0
demise 死亡；财产转让$0
demography 人口统计，人口学$0
demolish 破坏；拆除$0
demolition 破坏，毁坏$0
demonstrate 证明，论证；示威$0
demonstrative 证明性的；喜怒形于色的$0
demoralize 使士气低落$0
demote 降级，降职$0
demotic 民众的，通俗的$0
demur 表示异议，反对$0
demystify 弄清楚$0
den 兽穴，窝$0
denigrate 污蔑，诽谤$0
denizen 居民；外籍居民$0
denomination 命名$0
denote 表示；指示意义$0
denouement 结尾，结局$0
denounce 指责$0
dent 缺口，凹痕；弄凹$0
denture 假牙$0
denude 脱去；剥蚀；剥夺$0
depict 描绘，描画$0
deplete 大量减少；耗尽，枯竭$0
deplore 悲悼，哀叹$0
deport 驱逐出境$0
depose 免职；作证$0
deposition 免职；沉积；作证$0
depraved 堕落的，腐化的$0
depravity 堕落，恶习$0
deprecate 反对；轻视$0
depreciate 轻视；贬值$0
depressed 消沉的；凹陷的$0
depression 沮丧，消沉；降低，削弱$0
deprivation 剥夺；缺乏$0
deputy 代表；副警长$0
deracinate 根除，杜绝$0
derelict 荒废的；玩忽职守的；被遗弃的人$0
dereliction 遗弃，弃置$0
deride 嘲弄，愚弄$0
derivation 发展，起源；词源$0
derivative 派生的；无创意的$0
dermatologist 皮肤病学家$0
derogate 贬低，诽谤$0
descendant 后代，后裔$0
descent 降落；侵袭；血统$0
descry 远远看到，望见$0
desecrate 玷辱，亵渎$0
desert 放弃，离弃$0
desiccate 完全干涸，脱水$0
designation 指定；名称，称呼$0
desirable 值得要的$0
desperate 绝望的；特别强烈的；渴望至极乃至痛苦绝望的$0
despicable 可鄙的，卑劣的$0
despise 鄙视，藐视$0
despot 暴君$0
destitution 匮乏，穷困$0
desultory 不连贯的；散漫的$0
detach 分离，分遣$0
detached 分开的；超然的$0
detain 拘留；使延迟$0
detection 查出，探获$0
deter 威慑，吓住；阻止$0
detergent 净化的；清洁剂$0
deteriorate 变坏，恶化$0
detest 厌恶，憎恨$0
detonation 爆炸，爆炸声$0
detour 弯路；绕行之路$0
detraction 贬低，诽谤$0
detrimental 损害的，造成伤害的$0
detritus 碎屑；废墟$0
devastate 摧毁，破坏$0
deviant 越出常规的$0
deviate 越轨，脱离$0
deviation 背离$0
devious 不正直的；弯曲的$0
devise 发明，设计；图谋；遗赠给$0
devoid 空的，全无的$0
devoted 投入的，热爱的$0
devotee 爱好者$0
