a art.一(个)；每一(个)$0
secure a.安心的；安全的$0
security n.安全，安全感$0
see vt.看见；遇见；看出$0
seed n.种(子)，籽，萌芽$0
seek vt.寻找，探索；试图$0
seem vi.好像，似乎$0
seize vt.抓住，逮捕；夺取$0
seldom ad.很少，不常，难得$0
select vt.&vi.选择，挑选$0
selection n.选择，挑选；精选物$0
self n.自我，自己$0
selfish a.自私的，利己的$0
sell vt.&vi.卖，销售$0
seller n.卖者；行销货$0
semester n.半年；学期，半学年$0
semiconductor n.半导体$0
senate n.参议院，上院$0
send vt.送，寄发；派遣$0
senior a.年少的；地位较高的$0
sense n.感官；感觉；见识$0
sensible a.感觉得到的；明智的$0
sensitive a.敏感的；灵敏的$0
sentence n.判决；句子 vt.宣判$0
separate a.分离的；个别的$0
separately ad.分离地$0
separation n.分离，分开；分居$0
September n.九月$0
sequence n.连续，继续；次序$0
series n.连续，系列；丛书$0
serious a.严肃的；认真的$0
seriously ad.严肃地，认真地$0
servant n.仆人，佣人，雇工$0
serve vt.为…服务；招待$0
service n.服务；行政部门$0
session n.会议，一段时间$0
set vt.放；安置 vi.落$0
setting n.安装，调整；环境$0
settle vt.安排；安放；调停$0
settlement n.解决；殖民，殖民地$0
seven num.七，七个(人或物)$0
seventeen num.十七，十七个$0
seventh num.第七；七分之一$0
seventy num.七十，七十个$0
several a.几个，数个$0
severe a.严格的；严厉的$0
severely ad.严厉地，严格地$0
sew vt.缝制 vi.缝纫$0
sex n.性别，性$0
shade n.荫；遮光物 vi.荫蔽$0
shadow n.阴影，阴，影子$0
shady a.成荫的，阴凉的$0
shake vt.摇，使震动 n.摇动$0
shall aux.v.将要；必须；应$0
shallow a.浅的；浅薄的$0
shame n.羞耻，羞愧；羞辱$0
shampoo vt.用洗发剂洗 n.洗头$0
shape n.形状；情况 vt.形成$0
share n.份；份额；股份$0
sharp a.锋利的；敏锐的$0
sharpen vt.削尖，使敏锐$0
sharply ad.锐利地，敏锐地$0
shave vt.剃，刮 vi.修面$0
she pron.(主格)她$0
shear vt.剪；剥夺 vi.剪$0
shed vt.流出；散发；脱落$0
shed n.棚，小屋；贷棚$0
sheep n.羊，绵羊$0
sheet n.被单；纸张；薄板$0
shelf n.搁板，架子$0
shell n.壳；贝壳；炮弹$0
shelter n.隐蔽处；掩蔽，庇护$0
shepherd n.牧羊人，羊倌$0
shield n.盾；防护物 vt.保护$0
shift vt.替换，转移 n.转换$0
shilling n.先令$0
shine vi.照耀，发光 n.光$0
ship n.(大)船，海船，舰$0
shirt n.(男式)衬衫$0
shiver vi.颤抖，哆嗦 n.冷颤$0
shock n.冲击；震惊 vi.震动$0
shoe n.鞋$0
shoot vt.发射；射中 n.发芽$0
shop n.商店，店铺；车间$0
shopkeeper n.店主$0
shopping n.买东西，购物$0
shore n.滨，岸$0
short a.短的；短期的$0
shortage n.不足，缺少，不足额$0
shortcoming n.短处，缺点$0
shortly ad.立刻；简短地$0
shot n.发射；弹丸；射门$0
should aux.v.将；万一；就$0
shoulder n.肩，肩膀；挑起$0
shout n.&vi.呼喊，喊叫$0
show vt.给…看；表明$0
shower n.阵雨；(一)阵；淋浴$0
shriek vi.尖声喊叫 n.尖叫声$0
shrink vi.收缩；缩小；退缩$0
shut vt.关上，闭上，关闭$0
shy a.易受惊的；害羞的$0
sick a.有病的；恶心的$0
sickness n.疾病$0
side n.边，旁边；一方$0
sideways ad.斜着，斜向一边地$0
sigh n.&vi.叹气，叹息$0
sight n.视力；见；情景$0
sightseeing n.观光，游览$0
sign n.符号；招牌 n.签名$0
signal n.信号 vi.发信号$0
signature n.署名，签字，签名$0
significance n.意义，意味；重要性$0
significant n.有意义的；重要的$0
silence n.沉默 vt.使沉默$0
silent a.沉默的；寂静无声的$0
silk n.蚕丝，丝，丝织品$0
silly a.傻的，愚蠢的$0
silver n.银；银子；银器$0
similar a.相似的，类似的$0
similarly ad.类似地，相似地$0
simple a.简单的；朴素的$0
simplicity n.简单，简易；朴素$0
simplify vt.简化，使单纯$0
simply ad.简单地；朴素地$0
sin n.罪，罪孽 vi.犯罪$0
since conj.从…以来；因为$0
sincere a.真诚的；真挚的$0
sing vi.&vt.唱，演唱$0
singer n.歌唱家，歌手$0
single a.单一的；独身的$0
singular a.单一的；非凡的$0
sink vi.下沉；下垂；降低$0
sir n.先生，阁下；…爵士$0
sister n.姐妹，姐，妹$0
sit vi.坐，就坐 vt.使坐$0
site n.地点，地基；场所$0
situation n.位置；处境；形势$0
six num.六，六个$0
sixteen num.十六，十六个$0
sixth num.第六；六分之一$0
sixty num.六十，六十个$0
size n.大小；体积；尺码$0
skate n.冰鞋；滑冰 vi.滑冰$0
sketch n.略图；速写；概略$0
ski n.滑橇 vi.滑雪$0
skill n.技能，技巧；熟练$0
skilled a.有技能的，熟练的$0
skillful a.灵巧的，娴熟的$0
skim vt.掠过，擦过；略读$0
skin n.皮；兽皮；外皮$0
skirt n.女裙；边缘；郊区$0
sky n.天，天空$0
slam vt.使劲关，砰地放下$0
slave n.奴隶；苦工$0
slavery n.奴隶制度；苦役$0
sleep n.睡眠 vi.睡 vt.睡$0
sleepy a.想睡的；寂静的$0
sleeve n.袖子，袖套$0
slender a.细长的；微薄的$0
slice n.薄片，切片；部分$0
slide vi.滑 vt.使滑动 n.滑$0
slight a.细长的；轻微的$0
slightly ad.稍微，有点$0
slip vi.滑跤；滑落；溜$0
slipper n.拖鞋，便鞋$0
slippery a.滑的，使人滑跤的$0
slit n.裂缝 vt.切开，撕开$0
slogan n.标语，口号$0
slope n.倾斜；斜面 vi.倾斜$0
slow a.慢的；迟钝的$0
slowly ad.慢慢地$0
slum n.贫民窟，贫民区$0
sly a.狡猾的；躲躲闪闪的$0
small a.小的，少的；小型的$0
smart a.巧妙的；洒脱的$0
smell n.嗅觉；气味 vt.嗅$0
smile vi.微笑 n.微笑，笑容$0
smog n.烟雾$0
smoke n.烟；抽烟 vi.冒烟$0
smooth a.平滑的；平静的$0
smoothly ad.光滑地；平稳地$0
snake n.蛇$0
snow n.雪 vi.下雪$0
snowstorm n.雪暴，暴风雪$0
snowy a.雪的，下雪的$0
so ad.这样；这么；非常$0
soak vt.浸，泡 vi.浸泡$0
soap n.肥皂$0
sob vi.&n.啜泣，呜咽$0
sober a.清醒的；适度的$0
so-called a.所谓的，号称的$0
soccer n.英式足球$0
social a.社会的；社交的$0
socialism n.社会主义$0
socialist a.社会主义的$0
society n.社会；团体；社交界$0
sock n.短袜$0
soda n.碳酸钠，纯碱；汽水$0
soft a.软的；柔和的$0
softly ad.柔软地；温柔地$0
soil n.泥土，土壤，土地$0
soil vt.弄脏 vi.变脏$0
solar a.太阳的，日光的$0
soldier n.(陆军)士兵，军人$0
sole n.脚底，鞋底，袜底$0
sole a.单独的，唯一的$0
solely ad.单独地，唯一地$0
solemn a.庄严的；隆重的$0
solid a.固体的 n.固体$0
soluble a.可溶的；可以解决的$0
solution n.解决，解答；溶解$0
solve vt.解答，解释，解决$0
some a.&pron.一些，若干$0
somebody pron.某人，有人$0
somehow ad.由于某种原因$0
someone pron.某人，有人$0
something pron.某事，某物$0
sometime ad.在某一时候；从前$0
sometimes ad.不时，有时$0
somewhat pron.一点儿 ad.有点$0
somewhere ad.在某处 n.某地$0
son n.儿子$0
song n.歌唱；歌曲，歌词$0
soon ad.不久；早，快$0
sophisticated a.老于世故的；高级的$0
sore a.痛的；恼火的 n.疮$0
sorrow n.悲痛，悲哀，悲伤$0
sorry a.难过的；对不起的$0
sort n.种类；类别 vt.整理$0
soul n.灵魂；精神；人$0
sound a.健康的；完好的$0
sound n.声音 vi.响，发声$0
soup n.汤$0
sour a.酸的；脾气坏的$0
source n.河的源头；根源$0
south n.南，南方 a.南方的$0
southeast n.东南 a.位于东南的$0
southern a.南方的，南部的$0
southwest n.西南 a.西南的$0
Soviet n.苏维埃 a.苏维埃的$0
sow vt.播(种) vi.播种$0
space n.空间；场地；空白$0
spacecraft n.航天器，宇宙飞船$0
spaceship n.航天飞船$0
spade n.铲，铁锹$0
span n.跨距；一段时间$0
Spanish a.西班牙的n.西班牙人$0
spare vt.节约 a.多余的$0
spark n.火花，火星$0
sparkle vi.发火花 vt.使闪耀$0
sparrow n.麻雀$0
speak vi.说话；发言 vt.说$0
speaker n.说话者；扬声器$0
spear n.矛，枪$0
special a.特殊的；专门的$0
specialist n.专家$0
speciality n.专业，特长；特产$0
specialize vi.成为…专家；专攻$0
specially ad.专门地，特别地$0
specific a.特有的；具体的$0
specify vi.指定，详细说明$0
specimen n.样本，标本，样品$0
spectacle n.光景，景象；眼镜$0
speech n.言语；演说；方言$0
speed n.快；速率 vi.快行$0
spell vt.拼写 vi.拼字$0
spelling n.拼字，拼法，拼写法$0
spend vt.用钱，花费；度过$0
sphere n.球，圆体；范围$0
spider n.蜘蛛$0
spill vt.使溢出 vi.溢出$0
spin vt.纺；使旋转 n.旋转$0
spirit n.精神；气魄；情绪$0
spiritual a.精神的，心灵的$0
spit vi.吐 vi.吐唾沫$0
splash vt.&n.溅，泼，飞溅$0
splendid a.壮丽的；显著的$0
split vt.劈开 vi.被劈开$0
spoil vt.损坏，糟蹋；宠坏$0
sponge n.海绵$0
sponsor n.发起者 vt.发起$0
spontaneous a.自发的；本能的$0
spoon n.匙，调羹$0
sport n.运动；运动会$0
sportsman n.运动员$0
spot n.点，斑点；地点$0
spray n.浪花；喷雾 vt.喷$0
spread vt.伸开；传播 n.传播$0
spring vi.跳，跃 n.跳跃；泉$0
spring n.春天，春季$0
springtime n.春季，春天$0
sprinkle n.洒，撒；小雨$0
spur n.刺激物 vt.刺激$0
spy n.间谍，特务 vt.侦察$0
square n.正方形；广场$0
squeeze vt.&vi.榨，挤；压榨$0
squirrel n.松鼠$0
stab vt.&vi.&n.刺，戳$0
stability n.稳定，稳定性，巩固$0
stable a.稳定的，不变的$0
stable n.厩，马厩，牛棚$0
stack n.堆，垛 vt.堆积$0
stadium n.露天大型运动场$0
staff n.工作人员；参谋$0
stage n.舞台；戏剧；阶段$0
stain vt.沾污；给…着色$0
stair n.楼梯$0
staircase n.楼梯，楼梯间$0
stake n.桩；赌金；奖品$0
stale n.陈腐的；走了气的$0
stamp n.戳子；邮票；标志$0
stand vi.站；坐落 n.架，台$0
standard n.标准 a.标准的$0
standpoint n.立场，观点$0
star n.星；恒星；明星$0
stare vi.盯，凝视$0
start vi.跳起；出发；开始$0
startle vt.使大吃一惊 n.吃惊$0
starve vi.饿死 vt.使饿死$0
state n.状态；国家；州$0
state vt.陈述，说明，阐明$0
statement n.陈述，声明$0
statesman n.政治家，国务活动家$0
static a.静的；静态的$0
station n.站，台，所，局$0
statistical a.统计的，统计学的$0
statue n.塑像，雕像，铸像$0
status n.地位，身分$0
stay vi.停留；住 n.逗留$0
steadily ad.稳定地，不变地$0
steady a.稳固的 vt.使稳定$0
steal vt.偷，窍取$0
steam n.蒸汽 vi.蒸发 vt.蒸$0
steamer n.轮船，汽船$0
steel n.钢，钢铁$0
steep a.险峻的，陡峭的$0
steer vt.&vi.驾驶$0
stem n.茎，(树)干 vi.起源$0
step n.(脚)步；步骤 vi.走$0
stern a.严厉的；坚定的$0
steward n.乘务员，服务员$0
stewardess n.空中小姐，女乘务员$0
stick n.棍，棒 vt.刺；粘贴$0
sticky a.粘性的；胶粘的$0
stiff a.硬的；僵直的$0
stiffen vt.使硬；使僵硬$0
still a.静止的 n.寂静$0
stimulate vt.刺激，激励，激发$0
sting vt.刺；刺痛 vi.&n.刺$0
stir vt.动；拨动；激动$0
stitch n.一针；针脚 vt.缝$0
stock n.原料；库存品；股本$0
stocking n.长(统)袜$0
stomach n.胃；肚子；食欲$0
stone n.石，石头；宝石$0
stony a.多石的；冷酷的$0
stool n.凳子$0
stoop vi.俯身；弯身 n.弯腰$0
stop vt.塞住；阻止；停止$0
storage n.贮藏；贮藏量$0
store n.贮藏；贮存品；商店$0
storey n.(层)楼$0
storm n.风暴；暴(风)雨$0
stormy a.有暴风雨的；激烈的$0
story n.故事，小说，传说$0
stove n.炉，火炉，电炉$0
straight a.直的；正直的 ad.直$0
strain vt.拉紧 vi.尽力$0
strange a.陌生的；奇怪的$0
stranger n.陌生人；新来者$0
strap n.带子 vt.捆扎$0
strategy n.战略；策略$0
straw n.稻草，麦杆吸管$0
strawberry n.草莓$0
stream n.河；流 vi.&vt.流$0
street n.街，街道；行车道$0
strength n.力，力量，力气$0
strengthen vt.加强，巩固$0
stress n.压力；重音 vt.着重$0
stretch vt.伸展 vi.伸 n.伸展$0
strict a.严格的；严谨的$0
strictly ad.严格地，严谨地$0
strike vt.&vi.打，击 n.罢工$0
string n.线，细绳；一串$0
strip vt.剥；夺去 n.条带$0
stripe n.条纹，条子$0
stroke n.打，击；鸣声；中风$0
stroke vt.&n.抚，摩，捋$0
strong a.强壮的；擅长的$0
strongly ad.强壮地，强烈地$0
structural a.结构的，构造的$0
structure n.结构；构造 vt.建造$0
struggle n.&vi.斗争，奋斗$0
student n.学生；研究生，学者$0
study n.学习，研究 vt.学$0
stuff n.材料 vt.装，填，塞$0
stumble vi.绊倒；犯错误$0
stupid a.愚蠢的；感觉迟钝的$0
style n.风格；文体；式样$0
subject n.题目；学科；主语$0
submarine a.水下的 n.潜水艇$0
submerge vt.浸没 vi.潜入水中$0
submit vt.使服从 vi.服从$0
subsequent a.随后的，后来的$0
substance n.物质；实质；本旨$0
substantial a.物质的；坚固的$0
substitute n.代替人 vt.用…代替$0
subtract vt.减，减去，去掉$0
suburb n.郊区，郊外，近郊$0
subway n.地道；地下铁路$0
succeed vt.继…之后 vi.成功$0
success n.成功，成就，胜利$0
successful a.成功的，结果良好的$0
successfully ad.成功地$0
succession n.连续；继任，继承$0
successive a.连续的；接连的$0
such a.这样的；如此的…$0
suck vt.吸，吮，啜；吸收$0
sudden a.突然的，意外的$0
suddenly ad.突然地$0
suffer vt.遭受；忍受；容许$0
sufficient a.足够的，充分的$0
sufficiently ad.足够地，充分地$0
sugar n.糖$0
suggest vt.建议；暗示，启发$0
suggestion n.建议，意见；暗示$0
suit n.起拆，诉讼 vt.适合$0
suitable a.合适的；适宜的$0
sulphur n.硫(磺)，硫黄$0
sum n.总数；金额 vi.共计$0
summarize vt.概括，概述，总结$0
summary n.摘要，概要，一览$0
summer n.夏，夏季$0
sun n.太阳，日$0
Sunday n.星期日，礼拜日$0
sunlight n.日光，阳光$0
sunny a.阳光充足的；快活的$0
sunrise n.日出(时分)$0
sunset n.日落(时分)$0
sunshine n.(直射)日光，阳光$0
super a.极好的，超级的$0
superficial a.表面的；肤浅的$0
superior a.较高的；优越的$0
supermarket n.超级市场$0
supper n.晚饭，晚餐$0
supplement n.&vt.增补，补充$0
supply vt.&n.供给，供应$0
support vt.支撑；支持；供养$0
suppose vt.猜想；假定；让$0
supreme a.最高的；最大的$0
sure a.确信的；确实的$0
surely a.确实；稳当地$0
surface n.地面，表面；外表$0
surgeon n.外科医师；军医$0
surgery n.外科，外科手术$0
surname n.姓$0
surprise vt.使惊奇；突然袭击$0
surprising a.惊人的；出人意外的$0
surprisingly ad.惊人地$0
surrender vt.交出 vi.投降$0
surround vt.围，围绕，圈住$0
surroundings n.周围的事物，环境$0
survey vt.俯瞰；检查；测量$0
survive vt.幸免于 vi.活下来$0
suspect vt.怀疑 vi.疑心$0
suspend vt.吊，悬；推迟$0
suspicion n.怀疑，疑心，猜疑$0
sustain vt.支撑；供养；忍受$0
swallow n.燕子$0
swallow vt.&vi.吞下，咽下$0
swamp n.沼泽，沼泽地$0
swan n.天鹅$0
swarm n.一大群 vi.密集$0
sway vi.摇动 vt.摇；摇动$0
swear vt.宣(誓) vi.诅咒$0
sweat n.汗 vi.出汗$0
sweater n.厚运动衫，毛线衫$0
sweep vt.扫；刮起；扫过$0
sweet a.甜的；愉快的$0
swell vi.膨胀；隆起；增长$0
swift a.快的；反应快的$0
swim vi.游，游泳；眼花$0
swing vi.摇摆；回转 n.摇摆$0
Swiss a.瑞士的 n.瑞士人$0
switch n.开关；转换 vt.转换$0
sword n.剑，刀$0
symbol n.象征；符号，记号$0
sympathetic a.同情的；和谐的$0
sympathize vi.同情；同感，共鸣$0
sympathy n.同情；一致，同感$0
synthetic a.综合的；合成的$0
system n.系统，体系；制度$0
systematic(al) a.有系统的；有计划的$0
table n.桌子；餐桌；项目表$0
tablet n.碑，匾；药片$0
tag n.附加语；标签$0
tail n.尾巴；末尾部分$0
tailor n.裁缝 vt.裁制衣服$0
take vt.拿；抓；拿走；吃$0
tale n.故事，传说$0
talent n.天才；才能；人才$0
talk vi.讲话 vt.谈论$0
tall n.高的，身材高的$0
tame a.驯服的；顺从的$0
tan n.棕褐色 a.棕黄色的$0
tank n.坦克；大容器，槽$0
tap vt.&vi.&n.轻叩$0
tap n.塞子；龙头 vt.开发$0
tape n.线带；磁带，录音带$0
target n.靶，标的；目标$0
task n.任务，工作，作业$0
taste vt.尝；尝到 n.味觉$0
tax n.税，税款；负担$0
taxi n.出租汽车$0
tea n.茶；茶叶；茶树$0
teach vt.讲；教育 vt.教书$0
teacher n.教师，老师，先生$0
teaching n.教学，讲授；教导$0
team n.队，组$0
tear n.眼泪，泪珠$0
tear vt.撕开，撕裂$0
technical a.技术的，工艺的$0
technician n.技术员，技师$0
technique n.技术，技巧；技能$0
technology n.工艺学，工艺，技术$0
tedious a.冗长乏味的，沉闷的$0
teenager n.青少年$0
telegram n.电报$0
telegraph n.电报机；电报$0
telephone n.电话 vi.打电话$0
telescope n.望远镜$0
television n.电视；电视机$0
tell vt.讲述；吩咐；辨别$0
temper n.韧度；心情，情绪$0
temperature n.温度；体温$0
temple n.圣堂，神殿，庙宇$0
temporary a.暂时的，临时的$0
tempt vt.引诱，诱惑；吸引$0
temptation n.诱惑，引诱$0
ten num.十，十个$0
tenant n.承担人，房客，佃户$0
tend vt.照管，照料，护理$0
tend vi.走向，趋向；倾向$0
tendency n.趋向，趋势，倾向$0
tender a.嫩的；脆弱的$0
tennis n.网球，网球运动$0
tense n.时态，时$0
tense a.拉紧的，绷紧的$0
tent n.帐篷$0
tenth num.第十；十分之一$0
term n.期；学期；条件；词$0
terminal a.末端的 n.末端$0
terrible a.可怕的；极度的$0
terrific a.可怕的；极大的$0
territory n.领土，版图；领域$0
terror n.恐怖，惊骇$0
test n.&vt.试验；检验$0
text n.原文，本文；课文$0
textbook n.课本，教科书$0
textile n.纺织品 a.纺织的$0
than conj.(比较级)比$0
thank vt.谢谢，感谢 n.感谢$0
that a.那 pron.那 ad.那样$0
the art.(定冠词)这，那$0
theatre n.戏院；戏剧；教室$0
their pron.他(她、它)们的$0
theirs pron.他(她)们的东西$0
them pron.(宾格)他们$0
themselves pron.他们自己$0
then ad.当时；然后；那么$0
theoretical a.理论(上)的$0
theory n.理论；学说；意见$0
there ad.在那里；在那点上$0
thereby ad.因此，从而，由此$0
therefore ad.因此，所以$0
thermometer n.温度计，寒暑表$0
these a.&pron.这些$0
they pron.(主格)他(她)们$0
thick a.厚的；密的；浓$0
thickness n.厚(度)；密(度)$0
thief n.窃贼，偷窃犯$0
thin a.薄的；淡的 vi.变薄$0
thing n.物；用品；事；情况$0
think vt.想；想要；认为$0
third num.第三；三分之一$0
thirdly ad.第三$0
thirst n.渴，口渴；渴望$0
thirsty a.渴的；渴望的$0
thirteen num.十三，十三个$0
thirty num.三十，三十个$0
this a.这；今 pron.这$0
thorn n.刺，棘；荆棘；蒺藜$0
thorough a.彻底的；详尽的$0
those pron.那些$0
though conj.虽然 ad.可是$0
thought n.思想；思维；想法$0
thoughtful a.沉思的；体贴的$0
thousand num.千，千个 n.无数$0
thread n.线；丝；螺纹；头绪$0
threat n.威胁，恐吓，凶兆$0
threaten vt.&vi.威胁，恐吓$0
three num.三，三个$0
thrill n.一阵激动$0
thrive vi.兴旺，繁荣，旺盛$0
throat n.咽喉，喉咙；嗓音$0
throne n.宝座，御座；王位$0
throng n.群，人群 vt.挤满$0
through prep.穿过ad.从头到尾$0
throughout prep.遍及 ad.到处$0
throw vt.投，掷，抛，扔$0
thrust vt.插，刺 n.插；讽刺$0
thumb n.(大)拇指$0
thunder n.雷 vi.打雷 vt.吼出$0
Thursday n.星期四$0
thus ad.如此，这样；因而$0
tick n.滴答声；记号$0
ticket n.票，券；纲领；传票$0
tide n.潮，潮汐；潮流$0
tidy a.整洁的；整齐的$0
tie n.领带；联系 vt.系$0
tiger n.虎$0
tight a.紧的；紧身的$0
till prep.conj.直到…为止$0
timber n.木材，木料$0
time n.时间；时机；次，回$0
timetable n.时间表，时刻表$0
timid a.胆怯的；羞怯的$0
tin n.锡；罐头$0
tiny a.微小的，极小的$0
tip n.梢，末端，尖，尖端$0
tip vt.轻击 vi.给小费$0
tire vi.疲劳，累；厌倦$0
tired a.疲劳的；厌倦的$0
tissue n.薄绢；薄纸；组织$0
title n.标题，题目；称号$0
to prep.到，向，达到$0
toast n.烤面包 vt.烘，烤$0
toast n.祝酒；祝酒词$0
tobacco n.烟草，烟叶$0
today ad.在今天；现在$0
toe n.脚趾，足尖$0
together ad.共同，一起$0
toilet n.厕所，盥洗室，浴室$0
tolerance n.忍受，容忍；公差$0
tolerate vt.忍受，容忍，宽恕$0
tomato n.番茄，西红柿$0
tomb n.坟，冢$0
tomorrow ad.在明天 n.明天$0
ton n.吨；大量$0
tone n.音；腔调；声调$0
tongue n.舌，舌头；语言$0
tonight ad.在今夜 n.今夜$0
too ad.也，还；太，过分$0
tool n.工具，器具，用具$0
tooth n.牙齿$0
top n.顶；首位 a.顶的$0
topic n.题目，论题，话题$0
torch n.火炬，火把；手电筒$0
torrent n.奔流，激流，洪流$0
tortoise n.龟，乌龟$0
torture n.拷问；折磨 vt.拷打$0
toss vt.&vi.扔，抛，掷$0
total a.总的 vi.合计，总共$0
touch vt.触摸；触动 n.触$0
tough a.坚韧的；健壮的$0
tour n.&vi.旅行，游历$0
tourist n.旅游者，观光者$0
toward(s) prep.向；对于；接近$0
towel n.毛巾，手巾$0
tower n.塔 vi.屹立，高耸$0
town n.镇，市镇，城镇$0
toy n.玩具，玩物$0
trace n.痕迹；丝毫 vt.跟踪$0
track n.行踪；路径；轨道$0
tractor n.拖拉机；牵引车$0
trade n.贸易；职业 vi.交易$0
tradition n.传统，惯例$0
traditional a.传统的，惯例的$0
traffic n.交通，通行；交通量$0
tragedy n.悲剧；惨事，惨案$0
trail n.痕迹；小径 vt.跟踪$0
train vt.培养 n.列车；队列$0
training n.训练，锻炼，培养$0
traitor n.叛徒，卖国贼$0
tram n.(有轨)电车$0
tramp n.流浪者，游民$0
transfer vt.转移；调动vi.转移$0
transform vt.改变；改造；变换$0
transformation n.变化；改造；转变$0
transformer n.变压器，转换器$0
transistor n.晶体管$0
translate vt.翻译，译 vt.翻译$0
translation n.翻译；译文，译本$0
transmission n.传送；传动；发射$0
transmit vt.传送，传达；发射$0
transparent a.透明的；易识破的$0
transport vt.运输 n.运输$0
transportation n.运输，运送，客运$0
trap n.陷阱；诡计 vt.诱骗$0
travel vi.&vi.&n.旅行$0
tray n.(浅)盘，托盘，碟$0
treason n.谋反，通敌，叛国罪$0
treasure n.财富；珍宝 vt.珍视$0
treat vt.对待；处理 n.款待$0
treatment n.待遇；治疗，疗法$0
treaty n.条约；协议，协定$0
tree n.树$0
tremble vi.发抖，哆嗦；摇动$0
tremendous a.极大的，非常的$0
trend vi.伸向；倾向 n.倾向$0
trial n.试，试验；审判$0
triangle n.三角(形)$0
tribe n.部落，宗族$0
trick n.诡计；窍门 vt.哄骗$0
trifle n.小事，琐事；少许$0
trim a.整齐的 vt.使整齐$0
trip vi.绊；失足 vt .绊倒$0
triumph n.凯旋；胜利 vi.成功$0
troop n.军队；一群，大量$0
tropical a.热带的$0
trouble n.烦恼；困难 vi.烦恼$0
troublesome a.令人烦恼的；麻烦的$0
trousers n.裤子，长裤$0
truck n.卡车，载重汽车$0
true a.真的；忠实的$0
truly ad.真正地；忠实地$0
trumpet n.喇叭，小号$0
trunk n.树干；大衣箱，皮箱$0
trust n.信任 vt.相信；委托$0
truth n.真理；真实；真实性$0
try vt.试；审问 vi.尝试$0
tub n.桶，盆，浴缸，浴盆$0
tube n.管；电子管，显像管$0
tuck vt.折短，卷起；塞$0
Tuesday n.星期二$0
tuition n.教，教诲；学费$0
tumble vi.摔倒，跌倒；打滚$0
tune n.调子；和谐 vt.调谐$0
tunnel n.隧道，坑道，地道$0
turbine n.叶轮机，汽轮机$0
turbulent a.骚动的，骚乱的$0
turkey n.火鸡；火鸡肉$0
turn vt.转；翻 vi.转动$0
turning n.旋转；变向；转弯处$0
turnip n.萝卜，芜菁$0
tutor n.家庭教师；导师$0
twelfth num.第十二$0
twelve num.十二，十二个$0
twentieth num.第二十$0
twenty num.二十，二十个$0
twice ad.两次，两倍$0
twin a.孪生的 n.孪生儿$0
twinkle vi.闪烁，闪耀$0
twist vt.捻；拧 vi.&n.扭弯$0
two num.二，两个$0
type n.型，类型 vi.打字$0
typewriter n.打字机$0
typhoon n.台风$0
typical a.典型的，代表性的$0
typist n.打字员$0
tyre n.轮胎，车胎$0
ugly a.丑陋的；可怕的$0
ultimate a.最后的，最终的$0
ultimately ad.最终，最后$0
umbrella n.伞，雨伞$0
unable a.不能的，不会的$0
unbearable a.难堪的，忍受不了的$0
uncertain a.无常的；不确定的$0
uncle n.伯父，叔父，舅父$0
uncomfortable a.不舒服的；不自在的$0
unconscious a.不省人事的$0
uncover vt.揭开…的盖子$0
under prep.在…下面；低于.$0
undergo vt.经历，经受，忍受$0
undergraduate n.大学肆业生$0
underground a.地下的；秘密的$0
underline vt.划线于…之下$0
underneath ad.在下面，在底下$0
understand vt.懂；获悉 vi.懂得$0
understanding n.理解；理解力；协定$0
undertake vt.从事；承担；保证$0
undertaking n.任务，事业；许诺$0
undo vt.解开，打开；取消$0
undoubtedly ad.无容置疑，肯定地$0
uneasy a.心神不安的，忧虑的$0
unexpected a.想不到的，意外的$0
unfair a.不公平的，不公正的$0
unfortunate a.不幸的；可取的$0
unfortunately ad.不幸地$0
unhappy a.不幸福的，不快乐的$0
uniform a.一样的 n.制服$0
union n.联合；团结；协会$0
unique a.唯一的，独一无二的$0
unit n.单位；单元；部件$0
unite vi.联合 vt.使联合$0
unity n.单一；统一；团结$0
universal a.宇宙的；普遍的$0
universe n.宇宙，世界$0
university n.大学，综合性大学$0
unjust a.非正义的；不公平的$0
unkind a.不仁慈的，不和善的$0
unknown a.不知道的；未知的$0
unless conj.除非，如果不$0
unlike a.不同的 prep.不象…$0
unlikely a.未必的，未必可能的$0
unload vt.卸(货) vi.卸货$0
unlucky a.不幸的；不吉的$0
unnecessary a.不必要的，多余的$0
unpleasant a.令人不快的，讨厌的$0
unsatisfactory a.不能令人满意的$0
unstable a.不稳固的；不稳定的$0
unsuitable a.不合适的，不适宜的$0
until prep&conj.直到…为止$0
unusual a.不平常的；独特的$0
unusually a.不平常地，非常$0
unwilling a.不愿意的$0
up ad.向上；起床，起来$0
upon prep.在…上；在…旁$0
upper a.上面的；地位较高的$0
upright a.垂直的；正直的$0
upset vt.弄翻，打翻，倾覆$0
upside-down a.颠倒的，乱七八糟的$0
upstairs ad.在楼上 a.楼上的$0
up-to-date a.直到最近的，现代的$0
upward a.向上的，上升的$0
upwards ad.趋向上升；以上$0
urge vt.推进；催促 n.冲动$0
urgent a.紧急的；强求的$0
us pron.(宾格)我们$0
usage n.使用，对待；惯用法$0
use vt.用；耗费 n.用$0
used vi.过去常常$0
used a.旧的；习惯于…的$0
useful a.有用的，有益的$0
useless a.无用的，无价值的$0
user n.用户，使用者$0
usual a.通常的；平常的$0
usually ad.通常$0
utility n.效用，有用，实用$0
utilize vt.利用$0
utmost a.最远的 n.极限$0
utter a.完全的，彻底的$0
utter vt.发出，说，讲$0
